feature,why
CC_CNT_DRAWINGS_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_OTHER_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_OTHER_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_OTHER_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_POS_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_POS_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_POS_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_INSTALMENT_MATURE_CUM_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_INSTALMENT_MATURE_CUM_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_INSTALMENT_MATURE_CUM_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_SK_DPD_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_SK_DPD_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_SK_DPD_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_SK_DPD_DEF_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_SK_DPD_DEF_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_SK_DPD_DEF_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
POS_MONTHS_BALANCE_mean,POS cash balance usage aggregates; short-term credit reliance captured.
POS_MONTHS_BALANCE_max,POS cash balance usage aggregates; short-term credit reliance captured.
POS_MONTHS_BALANCE_min,POS cash balance usage aggregates; short-term credit reliance captured.
POS_CNT_INSTALMENT_mean,POS cash balance usage aggregates; short-term credit reliance captured.
POS_CNT_INSTALMENT_max,POS cash balance usage aggregates; short-term credit reliance captured.
POS_CNT_INSTALMENT_min,POS cash balance usage aggregates; short-term credit reliance captured.
POS_CNT_INSTALMENT_FUTURE_mean,POS cash balance usage aggregates; short-term credit reliance captured.
POS_CNT_INSTALMENT_FUTURE_max,POS cash balance usage aggregates; short-term credit reliance captured.
POS_CNT_INSTALMENT_FUTURE_min,POS cash balance usage aggregates; short-term credit reliance captured.
POS_SK_DPD_mean,POS cash balance usage aggregates; short-term credit reliance captured.
POS_SK_DPD_max,POS cash balance usage aggregates; short-term credit reliance captured.
POS_SK_DPD_min,POS cash balance usage aggregates; short-term credit reliance captured.
POS_SK_DPD_DEF_mean,POS cash balance usage aggregates; short-term credit reliance captured.
POS_SK_DPD_DEF_max,POS cash balance usage aggregates; short-term credit reliance captured.
POS_SK_DPD_DEF_min,POS cash balance usage aggregates; short-term credit reliance captured.
INST_NUM_INSTALMENT_VERSION_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_NUM_INSTALMENT_VERSION_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_NUM_INSTALMENT_VERSION_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_NUM_INSTALMENT_NUMBER_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_NUM_INSTALMENT_NUMBER_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_NUM_INSTALMENT_NUMBER_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_DAYS_INSTALMENT_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_DAYS_INSTALMENT_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_DAYS_INSTALMENT_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_DAYS_ENTRY_PAYMENT_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_DAYS_ENTRY_PAYMENT_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_DAYS_ENTRY_PAYMENT_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_AMT_INSTALMENT_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_AMT_INSTALMENT_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_AMT_INSTALMENT_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_AMT_PAYMENT_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_AMT_PAYMENT_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_AMT_PAYMENT_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_PAYMENT_DIFF_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_PAYMENT_DIFF_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_PAYMENT_DIFF_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_PAYMENT_RATIO_mean,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_PAYMENT_RATIO_max,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
INST_PAYMENT_RATIO_min,Installment payments aggregates (diff/ratio); adherence to schedule directly reflects behavior.
